epoch,iou_score,loss
0,0.3174974024295807,1.3507449626922607
1,0.33011093735694885,1.3202192783355713
2,0.33377769589424133,1.301259160041809
3,0.34206095337867737,1.284436821937561
4,0.33608782291412354,1.2801954746246338
5,0.3363708555698395,1.2724673748016357
6,0.371608704328537,1.232690453529358
7,0.37551555037498474,1.2137839794158936
8,0.3749086856842041,1.2056349515914917
9,0.386172890663147,1.1795417070388794
10,0.3651284873485565,1.2046501636505127
11,0.4094139039516449,1.1386966705322266
12,0.4163283407688141,1.119133710861206
13,0.39758381247520447,1.143487572669983
14,0.4032878577709198,1.128044843673706
15,0.40247249603271484,1.1248455047607422
16,0.4413222372531891,1.0639852285385132
17,0.43452343344688416,1.065125584602356
18,0.433605432510376,1.068698763847351
19,0.43280458450317383,1.0515704154968262
20,0.4732661545276642,0.9938798546791077
21,0.4499340355396271,1.0159945487976074
22,0.4545590579509735,1.01145339012146
23,0.45983076095581055,1.0030585527420044
24,0.469327837228775,0.9889975786209106
25,0.4710465371608734,0.9813463687896729
26,0.48732852935791016,0.9555912613868713
27,0.4701859652996063,0.9778594970703125
28,0.4754602909088135,0.9647675156593323
29,0.523280918598175,0.8944065570831299
30,0.4901432693004608,0.9274135231971741
31,0.5270699858665466,0.8828903436660767
32,0.5081472396850586,0.9097892642021179
33,0.5323659777641296,0.8649241328239441
34,0.5221235156059265,0.8767481446266174
35,0.49241694808006287,0.915740966796875
36,0.5307478308677673,0.8762766718864441
37,0.5297067761421204,0.8637173175811768
38,0.5184075236320496,0.8665868043899536
39,0.5216519236564636,0.8696444034576416
40,0.5536374449729919,0.8296157121658325
41,0.5538143515586853,0.8204951882362366
42,0.539673388004303,0.8386663794517517
43,0.5641418695449829,0.8023831844329834
44,0.5433642268180847,0.8280141353607178
45,0.5264049172401428,0.8503907918930054
46,0.5625097751617432,0.802309513092041
47,0.5457032322883606,0.822620153427124
48,0.5426676869392395,0.8181431293487549
49,0.5534206032752991,0.8056349158287048
50,0.5458552837371826,0.8088229894638062
51,0.5664159655570984,0.7888870239257812
52,0.5634543895721436,0.7838802933692932
53,0.5805111527442932,0.7609308958053589
54,0.5687958598136902,0.7822636961936951
55,0.5432790517807007,0.808337926864624
56,0.56013423204422,0.7906726598739624
57,0.567882239818573,0.7678766846656799
58,0.5621275305747986,0.7817125916481018
59,0.5640689730644226,0.807744026184082
60,0.5777280926704407,0.7571471333503723
61,0.5776854753494263,0.7575794458389282
62,0.5654383301734924,0.768963098526001
63,0.6032325625419617,0.718326985836029
64,0.5667775869369507,0.7631458044052124
65,0.5723521113395691,0.7537869215011597
66,0.611900806427002,0.7169367671012878
67,0.5939456820487976,0.7246943116188049
68,0.590798556804657,0.7280651330947876
69,0.5739304423332214,0.750829815864563
70,0.5673633813858032,0.750103235244751
71,0.5740912556648254,0.748207688331604
72,0.617407500743866,0.6953448057174683
73,0.5860030055046082,0.7331007122993469
74,0.5732120275497437,0.7379594445228577
75,0.6058979630470276,0.7039797902107239
76,0.6222751140594482,0.6777424216270447
